Nummer;Stadtteil;Ortskode;WestOst;NordSüd;Lage;Zimmer;Fläche;Miete
100001;Cha;1;4,1;4,8;3;1;25,8;242,3
100002;Cha;1;4,1;4,8;3;1;28,4;274,3
100003;Cha;1;4,1;4,8;3;1;28,6;278
100004;Cha;1;4,1;4,8;2;1;29,7;258,7
100005;Cha;1;4,1;4,8;2;1;30,8;272,6
100006;Cha;1;4,1;4,8;2;1;32;253,8
100007;Cha;1;4,1;4,8;2;1;32,6;298,9
100008;Cha;1;4,1;4,8;2;1;34,2;276
100009;Cha;1;4,1;4,8;1;1;35,3;272,2
100010;Cha;1;4,1;4,8;2;1;36,2;299,4
100011;Cha;1;4,1;4,8;2;1;36,7;329,9
100012;Cha;1;4,1;4,8;3;1;38,2;356
100013;Cha;1;4,1;4,8;3;1;39,3;374,5
100014;Cha;1;4,1;4,8;2;1;39,9;348,3
100015;Cha;1;4,1;4,8;2;1;41;342,8
100016;Cha;1;4,1;4,8;2;1;42,4;374,8
100017;Cha;1;4,1;4,8;2;1;43,3;384,1
100018;Cha;1;4,1;4,8;2;1;44,7;388,9
100019;Cha;1;4,1;4,8;2;1;45,6;395,4
100020;Cha;1;4,1;4,8;2;1;47,1;369,3
100021;Cha;1;4,1;4,8;2;1;47,9;383,7
100022;Cha;1;4,1;4,8;2;1;48,9;354,5
100023;Cha;1;4,1;4,8;2;1;50,4;369,9
100024;Cha;1;4,1;4,8;2;1;50,5;418,6
100025;Cha;1;4,1;4,8;2;2;43,7;402,5
100026;Cha;1;4,1;4,8;2;2;47,2;413,5
100027;Cha;1;4,1;4,8;3;2;50,1;454,9
100028;Cha;1;4,1;4,8;1;2;50,6;375,5
100029;Cha;1;4,1;4,8;2;2;52;430,6
100030;Cha;1;4,1;4,8;3;2;52,6;499,2
100031;Cha;1;4,1;4,8;2;2;54,2;430,9
100032;Cha;1;4,1;4,8;3;2;54,9;559,4
100033;Cha;1;4,1;4,8;3;2;56,4;614,2
100034;Cha;1;4,1;4,8;3;2;56,7;540,4
100035;Cha;1;4,1;4,8;2;2;58,4;484,7
100036;Cha;1;4,1;4,8;3;2;59,1;632,4
100037;Cha;1;4,1;4,8;2;2;59,9;542,7
100038;Cha;1;4,1;4,8;2;2;61,4;513,9
100039;Cha;1;4,1;4,8;3;2;61,8;665
100040;Cha;1;4,1;4,8;2;2;62,4;548,5
100041;Cha;1;4,1;4,8;3;2;62,9;648,5
100042;Cha;1;4,1;4,8;3;2;63,6;603,6
100043;Cha;1;4,1;4,8;3;2;63,6;737,1
100044;Cha;1;4,1;4,8;3;2;65,4;674,3
100045;Cha;1;4,1;4,8;1;2;66,2;533,6
100046;Cha;1;4,1;4,8;3;2;66,7;661,7
100047;Cha;1;4,1;4,8;3;2;68,4;659,4
100048;Cha;1;4,1;4,8;3;2;69;747,3
100049;Cha;1;4,1;4,8;3;2;69,6;612,5
100050;Cha;1;4,1;4,8;3;2;70,9;755,1
100051;Cha;1;4,1;4,8;3;2;71,5;702,8
100052;Cha;1;4,1;4,8;3;2;73,2;811,1
100053;Cha;1;4,1;4,8;2;2;73,5;615,9
100054;Cha;1;4,1;4,8;2;2;75;612
100055;Cha;1;4,1;4,8;2;2;76,4;643,3
100056;Cha;1;4,1;4,8;3;2;76,5;785,7
100057;Cha;1;4,1;4,8;1;2;77,7;495,7
100058;Cha;1;4,1;4,8;3;2;79,2;829,2
100059;Cha;1;4,1;4,8;3;2;80;748,8
100060;Cha;1;4,1;4,8;2;2;81,4;658,5
100061;Cha;1;4,1;4,8;1;2;81,6;563
100062;Cha;1;4,1;4,8;2;2;83,6;725,6
100063;Cha;1;4,1;4,8;3;2;85;895,9
100064;Cha;1;4,1;4,8;3;2;86,2;995,6
100065;Cha;1;4,1;4,8;3;2;87,3;914
100066;Cha;1;4,1;4,8;2;2;88,3;793,8
100067;Cha;1;4,1;4,8;3;2;89,3;949,3
100068;Cha;1;4,1;4,8;3;2;89,9;847,8
100069;Cha;1;4,1;4,8;1;2;91,8;657,3
100070;Cha;1;4,1;4,8;1;2;93,8;692,2
100071;Cha;1;4,1;4,8;3;2;98,1;999,6
100072;Cha;1;4,1;4,8;2;3;68,5;570,6
100073;Cha;1;4,1;4,8;3;3;71,4;652,6
100074;Cha;1;4,1;4,8;2;3;71,8;604,6
